id,title,overview,genres_list,keywords_list,poster_path,popularity,vote_average,vote_count,emo_joy,emo_love,emo_sadness,emo_fear,emo_anger,emo_surprise,emo_disgust,final_emo_joy,final_emo_love,final_emo_sadness,final_emo_fear,final_emo_anger,final_emo_surprise,final_emo_disgust
666750,Dragonheart: Vengeance,"Lukas, a young farmer whose family is killed by savage raiders in the countryside, sets out on an epic quest for revenge, forming an unlikely trio with a majestic dragon and a swashbuckling, sword-fighting mercenary, Darius.","['Fantasy', 'Action', 'Adventure']",['dragon'],/qs6gz6atyQcAvqC6qZaslOjliUG.jpg,5.4801,6.889,122,0.14721988,0.14316088,0.14116804,0.13640785,0.14032227,0.14414929,0.14757177,0.14721988360911437,0.1431608817452324,0.14116804512095518,0.13640785420548698,0.14032227010015055,0.14414929068310994,0.14757177453595066
557950,Mainstream,A young woman thinks she’s found a path to internet stardom when she starts making YouTube videos with a charismatic stranger  – until the dark side of viral celebrity threatens to ruin them both.,"['Comedy', 'Drama']","['suicide', 'love triangle', 'satire', 'woman director', 'social media influencer', 'ana akım']",/9vTf02WXyldeKN4kfwZRwwI4XbG.jpg,5.3942,6.345,349,0.14485504,0.14400896,0.14060861,0.1393793,0.141389,0.14065279,0.14910631,0.14485503733158112,0.14400896430015564,0.14060860872268677,0.13937929272651672,0.14138899743556976,0.14065279066562653,0.14910630881786346
646207,The Ice Road,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.","['Action', 'Thriller']","['truck', 'truck driver', 'mine explosion', 'manitoba', 'ice road']",/gl1dlX9sKYpiKujq80Yxve7l4yg.jpg,5.3756,6.8,1777,0.14610773,0.14438725,0.14083803,0.13761628,0.13876267,0.14405832,0.14822967,0.14610774195836437,0.14438725378437361,0.14083803539502832,0.1376162849435976,0.13876267604605413,0.14405832553257497,0.14822968234000697
619778,Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.","['Horror', 'Mystery']","['dreams', 'monster', 'brain tumor', 'detective', 'seattle, washington', 'gore', 'murder', 'vision', 'serial killer', 'hospital', 'miscarriage', 'videotape', 'murder mystery', 'sister sister relationship', 'psychic connection', 'body horror', 'intense', 'american giallo']",/dGv2BWjzwAz6LB8a8JeRIZL8hSz.jpg,7.0239,6.77,2461,0.14585005,0.14351548,0.14026926,0.1365199,0.14054047,0.14465614,0.14864875,0.1458500409491342,0.14351547612925727,0.1402692583082948,0.13651988790095357,0.1405404594298992,0.1446561301653327,0.1486487471171284
672647,The Map of Tiny Perfect Things,Two teenagers trapped in an endless time loop set out to find all the tiny things that make that one day perfect.,"['Fantasy', 'Romance']","['small town', 'love', 'cancer', 'time loop', 'based on short story', 'loss of mother', 'love story', 'teenager']",/6y3ev0rJFbHA1hU22UPmmfzBjrG.jpg,6.0034,7.127,826,0.1445975,0.14440784,0.13833235,0.13917483,0.14182378,0.1427947,0.14886896,0.1445975048720093,0.14440784288668163,0.13833235616482364,0.13917483804150935,0.14182378774356208,0.14279470273240516,0.14886896755900883
511809,West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","['Drama', 'Romance', 'Crime']","['new york city', 'dancing', 'dance', 'street gang', 'love at first sight', 'forbidden love', 'musical', 'based on play or musical', 'interracial relationship', 'racism', 'nostalgic', 'young love', 'broadway musical', '1950s', 'romeo & juliet', 'latino', 'romantic', 'bold', 'tragic']",/yfz3IUoYYSY32tkb97HlUBGFsnh.jpg,6.4617,6.968,1654,0.14506856,0.14349733,0.1398334,0.14041178,0.14090987,0.14227244,0.14800668,0.1450685474235685,0.14349732437745782,0.13983339727917923,0.1404117709152835,0.14090985709966078,0.1422724340991715,0.14800666880567856
602063,Rurouni Kenshin: The Final,"In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions, who've vowed their revenge.","['Action', 'Adventure', 'History', 'Drama']","['martial arts', 'japan', 'samurai', 'sword', 'revenge', 'murder', 'chambara', 'based on manga', 'killer', 'samurai sword', 'death', 'sword duel', 'jidaigeki', 'shinsengumi', 'hidden past', 'bakumatsu', 'violence', 'ishin shishi']",/7bbEASVf9XWtfxWiuWUMY3uyhTb.jpg,5.2371,7.7,508,0.14563908,0.14210993,0.14093801,0.13969195,0.14397608,0.14189138,0.14575356,0.14563907899914802,0.14210993263289232,0.14093801589217808,0.1396919509722583,0.14397607958281158,0.14189137729840545,0.1457535646223063
870096,Restart the Earth,"When a drug to replicate plant cells creates a sentient form of flower, the planet is over taken by flora and humankind is depleted. A Chinese task force, a widowed father and his young daughter fight to survive in a mission to inject an antidote to the core of the plants to reverse their growth.","['Science Fiction', 'Horror', 'Action']","['dangerous mission', 'environmental disaster', 'plants', 'ecological disaster', 'global catastrophe']",/kl80N1g69v9QXe1wvkFza31WhD4.jpg,6.5395,6.7,139,0.1469311,0.14274429,0.1414743,0.13932163,0.13992271,0.14228545,0.14732052,0.14693109691143033,0.14274428784847257,0.14147430658340454,0.1393216252326965,0.13992270827293393,0.14228545129299164,0.14732052385807035
745881,The Medium,"A shaman's family learn that their goddess is supposedly controlling one of them. However, their lives take a frightening turn when they realise the goddess has nothing to do with the possession.","['Horror', 'Thriller']","['supernatural', 'medium', 'grave', 'thailand', 'mockumentary', 'shaman', 'occult', 'fake documentary', 'found footage', 'aggressive', 'folk horror', 'supernatural horror', 'horror mockumentary']",/tWoSE8SH6XhgWKHIL3p0sj7lA3V.jpg,5.7792,7.012,682,0.14571811,0.14330506,0.14131662,0.13828512,0.14049807,0.14255966,0.14831737,0.14571811041655972,0.14330506111226884,0.1413166203898695,0.13828511330060492,0.14049806981536642,0.14255966033697634,0.14831736462835424
550205,Wish Dragon,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,"['Animation', 'Family', 'Comedy', 'Fantasy']","['wish', 'dragon']",/lnPf6hzANL6pVQTxUlsNYSuhT5l.jpg,6.7548,7.881,1404,0.14570722,0.14324091,0.14160934,0.13813016,0.14034046,0.14281376,0.14815816,0.14570721766788933,0.14324091161428523,0.1416093387959996,0.13813015612765914,0.14034046023576766,0.14281375493386753,0.1481581606245315
